od,origin,destination,original_origin,original_destination,demand,pi_w,protected_demand,unprotected_demand,z_value,covered,u_w,path_length,shortest_length,detour_cap,model_uncovered_length,uncovered_cap_if_required
2->3,2,3,394,395,12.0,0.85,10.2,1.8000000000000003,1.0,True,0.0,953.2586841995671,953.2586841995671,1143.9104210394805,0.0,190.65173683991344
2->4,2,4,394,396,3.0,0.15,0.44999999999999996,2.55,1.0,True,0.0,1150.168358655206,1059.030634311984,1270.8367611743806,0.0,211.8061268623968
2->5,2,5,394,397,21.0,0.15,3.15,17.849999999999998,1.0,True,0.0,1511.610402841447,1382.2586812744853,1658.7104175293823,0.0,276.45173625489707
2->6,2,6,394,398,24.0,0.15,3.5999999999999996,20.4,1.0,True,0.0655732303763838,623.775887892374,623.775887892374,748.5310654708488,40.903,124.75517757847481
2->7,2,7,394,399,12.0,0.85,10.2,1.8000000000000003,1.0,True,0.024728298382360937,1654.0968313928433,1654.0968313928433,1984.916197671412,40.903,330.8193662785687
2->8,2,8,394,401,2.0,0.15,0.3,1.7,1.0,True,0.19953391982192595,2492.3455909908103,2322.0523551919505,2786.4628262303404,463.328208463185,464.41047103839014
3->1,3,1,395,393,4.0,0.15,0.6,3.4,1.0,True,0.0,277.63977134684495,277.63977134684495,333.16772561621394,0.0,55.52795426936899
3->10,3,10,395,408,2.0,0.15,0.3,1.7,1.0,True,0.021053277416273407,1199.5096983280591,1071.614625785588,1285.9375509427057,22.561,214.32292515711762
3->11,3,11,395,409,5.0,0.15,0.75,4.25,1.0,True,0.0,833.9276744556389,697.387,836.8643999999999,0.0,139.4774
3->12,3,12,395,410,6.0,0.15,0.8999999999999999,5.1,1.0,True,0.0,843.570168579483,822.509,987.0108,0.0,164.5018
3->13,3,13,395,412,8.0,0.85,6.8,1.2000000000000002,1.0,True,0.0,593.599168579483,593.599168579483,712.3190022953796,0.0,118.71983371589661
3->14,3,14,395,414,2.0,0.85,1.7,0.30000000000000004,1.0,True,0.0,1187.759168579483,1171.807,1406.1684,0.0,234.3614
3->2,3,2,395,394,10.0,0.85,8.5,1.5000000000000002,1.0,True,0.0,920.332807479788,920.332807479788,1104.3993689757456,0.0,184.06656149595761
3->4,3,4,395,396,10.0,0.15,1.5,8.5,1.0,True,0.0,298.099674455639,298.099674455639,357.7196093467668,0.0,59.6199348911278
3->5,3,5,395,397,19.0,0.15,2.85,16.15,1.0,True,0.0,659.54171864188,659.54171864188,791.450062370256,0.0,131.90834372837602
3->6,3,6,395,398,7.0,0.15,1.05,5.95,1.0,True,0.03732643090982572,1136.1526953721623,1095.818673336721,1314.9824080040653,40.903,219.16373466734422
3->7,3,7,395,399,14.0,0.15,2.1,11.9,1.0,True,0.0,1488.209169780593,1488.209169780593,1785.8510037367114,0.0,297.6418339561186
3->8,3,8,395,401,2.0,0.15,0.3,1.7,0.0,False,1.0,1640.276906791244,1479.293220362424,1775.151864434909,0.0,295.8586440724848
